"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 50","20 Jul 2026","36745.92","31927.58"
"NIFTY 50","17 Jul 2026","36891.14","32053.76"
"NIFTY 50","16 Jul 2026","36488.90","31705.45"
"NIFTY 50","15 Jul 2026","36497.59","31712.99"
"NIFTY 50","14 Jul 2026","36453.46","31675.49"
"NIFTY 50","13 Jul 2026","36694.40","31884.85"
"NIFTY 50","10 Jul 2026","36688.15","31879.42"
"NIFTY 50","09 Jul 2026","36311.62","31553.61"
"NIFTY 50","08 Jul 2026","36187.26","31445.97"
"NIFTY 50","07 Jul 2026","36970.13","32126.26"
"NIFTY 50","06 Jul 2026","37014.10","32165.29"
"NIFTY 50","03 Jul 2026","36772.46","31955.31"
"NIFTY 50","02 Jul 2026","36615.31","31823.01"
"NIFTY 50","01 Jul 2026","36358.08","31599.45"
"NIFTY 50","30 Jun 2026","36145.88","31415.02"
"NIFTY 50","29 Jun 2026","36262.15","31517.24"
"NIFTY 50","25 Jun 2026","36428.37","31661.71"
"NIFTY 50","24 Jun 2026","36376.39","31616.53"
"NIFTY 50","23 Jun 2026","36077.17","31356.47"
"NIFTY 50","22 Jun 2026","36489.39","31716.82"
"NIFTY 50","19 Jun 2026","36353.45","31598.67"
"NIFTY 50","18 Jun 2026","36519.02","31756.88"
"NIFTY 50","17 Jun 2026","36394.66","31648.74"
"NIFTY 50","16 Jun 2026","36248.81","31521.91"
"NIFTY 50","15 Jun 2026","36044.40","31344.15"
"NIFTY 50","12 Jun 2026","35695.33","31040.6"
"NIFTY 50","11 Jun 2026","34985.25","30425.83"
"NIFTY 50","10 Jun 2026","35065.85","30495.93"
"NIFTY 50","09 Jun 2026","35106.89","30537.64"
"NIFTY 50","08 Jun 2026","34926.96","30381.13"
"NIFTY 50","05 Jun 2026","35295.11","30701.36"
"NIFTY 50","04 Jun 2026","35354.58","30756.38"
"NIFTY 50","03 Jun 2026","35338.07","30763.6"
"NIFTY 50","02 Jun 2026","35455.73","30866.03"
"NIFTY 50","01 Jun 2026","35303.30","30733.33"
"NIFTY 50","29 May 2026","35552.64","30950.4"
"NIFTY 50","27 May 2026","36089.71","31419.1"
"NIFTY 50","26 May 2026","36099.61","31433.01"
"NIFTY 50","25 May 2026","36277.77","31588.14"
"NIFTY 50","22 May 2026","35793.78","31169.3"
"NIFTY 50","21 May 2026","35681.64","31074.69"
"NIFTY 50","20 May 2026","35688.12","31080.34"
"NIFTY 50","19 May 2026","35626.29","31026.49"
"NIFTY 50","18 May 2026","35674.46","31068.43"
"NIFTY 50","15 May 2026","35664.76","31059.99"
"NIFTY 50","14 May 2026","35710.57","31104.82"
"NIFTY 50","13 May 2026","35293.05","30741.16"
"NIFTY 50","12 May 2026","35243.17","30697.71"
"NIFTY 50","11 May 2026","35900.87","31270.58"
"NIFTY 50","08 May 2026","36444.03","31743.68"
"NIFTY 50","07 May 2026","36670.88","31941.28"
"NIFTY 50","06 May 2026","36677.36","31946.92"
"NIFTY 50","05 May 2026","36227.97","31555.49"
"NIFTY 50","04 May 2026","36358.33","31669.04"
"NIFTY 50","30 Apr 2026","36174.80","31509.18"
"NIFTY 50","29 Apr 2026","36446.26","31745.63"
"NIFTY 50","28 Apr 2026","36172.04","31506.78"
"NIFTY 50","27 Apr 2026","36318.25","31634.12"
"NIFTY 50","24 Apr 2026","36024.64","31378.39"
"NIFTY 50","23 Apr 2026","36430.96","31734.06"
"NIFTY 50","22 Apr 2026","36739.93","32003.19"
"NIFTY 50","21 Apr 2026","37039.12","32263.81"
"NIFTY 50","20 Apr 2026","36719.99","31985.82"
"NIFTY 50","17 Apr 2026","36702.93","31970.96"
"NIFTY 50","16 Apr 2026","36466.62","31765.12"
"NIFTY 50","15 Apr 2026","36518.69","31810.47"
"NIFTY 50","13 Apr 2026","35932.96","31300.26"
"NIFTY 50","10 Apr 2026","36246.40","31573.29"
"NIFTY 50","09 Apr 2026","35831.22","31211.63"
"NIFTY 50","08 Apr 2026","36166.14","31503.37"
"NIFTY 50","07 Apr 2026","34849.41","30356.41"
"NIFTY 50","06 Apr 2026","34615.19","30152.39"
"NIFTY 50","02 Apr 2026","34230.63","29817.4"
"NIFTY 50","01 Apr 2026","34179.90","29773.21"
"NIFTY 50","30 Mar 2026","33655.43","29316.37"
"NIFTY 50","27 Mar 2026","34391.13","29957.21"
"NIFTY 50","25 Mar 2026","35124.87","30596.36"
"NIFTY 50","24 Mar 2026","34530.99","30079.04"
"NIFTY 50","23 Mar 2026","33928.59","29554.31"
"NIFTY 50","20 Mar 2026","34835.63","30344.41"
"NIFTY 50","19 Mar 2026","34666.28","30196.89"
"NIFTY 50","18 Mar 2026","35835.24","31215.14"
"NIFTY 50","17 Mar 2026","35538.92","30957.02"
"NIFTY 50","16 Mar 2026","35279.17","30730.76"
"NIFTY 50","13 Mar 2026","34890.78","30392.44"
"NIFTY 50","12 Mar 2026","35626.27","31033.11"
"NIFTY 50","11 Mar 2026","35969.45","31332.04"
"NIFTY 50","10 Mar 2026","36564.40","31850.29"
"NIFTY 50","09 Mar 2026","36212.40","31543.68"
"NIFTY 50","06 Mar 2026","36848.97","32098.17"
"NIFTY 50","05 Mar 2026","37321.66","32510.5"
"NIFTY 50","04 Mar 2026","36891.56","32135.84"
"NIFTY 50","02 Mar 2026","37472.06","32641.51"
"NIFTY 50","27 Feb 2026","37943.67","33052.32"
"NIFTY 50","26 Feb 2026","38422.72","33469.62"
"NIFTY 50","25 Feb 2026","38401.58","33451.2"
"NIFTY 50","24 Feb 2026","38314.37","33375.23"
"NIFTY 50","23 Feb 2026","38748.94","33753.78"
"NIFTY 50","20 Feb 2026","38535.31","33567.69"
"NIFTY 50","19 Feb 2026","38359.13","33414.22"
"NIFTY 50","18 Feb 2026","38909.22","33893.4"
"NIFTY 50","17 Feb 2026","38763.50","33768.98"
"NIFTY 50","16 Feb 2026","38699.22","33712.99"
"NIFTY 50","13 Feb 2026","38379.95","33434.92"
"NIFTY 50","12 Feb 2026","38886.41","33876.13"
"NIFTY 50","11 Feb 2026","39107.40","34068.65"
"NIFTY 50","10 Feb 2026","39079.22","34044.1"
"NIFTY 50","09 Feb 2026","38976.99","33955.04"
"NIFTY 50","06 Feb 2026","38710.58","33723.96"
"NIFTY 50","05 Feb 2026","38627.94","33653.2"
"NIFTY 50","04 Feb 2026","38824.69","33825.42"
"NIFTY 50","03 Feb 2026","38751.71","33766.15"
"NIFTY 50","02 Feb 2026","37789.00","32927.3"
"NIFTY 50","01 Feb 2026","37392.92","32582.17"
"NIFTY 50","30 Jan 2026","38138.83","33232.11"
"NIFTY 50","29 Jan 2026","38286.86","33361.1"
"NIFTY 50","28 Jan 2026","38172.11","33261.12"
"NIFTY 50","27 Jan 2026","37920.03","33041.47"
"NIFTY 50","23 Jan 2026","37729.14","32876.31"
"NIFTY 50","22 Jan 2026","38092.55","33192.98"
"NIFTY 50","21 Jan 2026","37893.11","33019.19"
"NIFTY 50","20 Jan 2026","38006.05","33117.6"
"NIFTY 50","19 Jan 2026","38537.78","33580.94"
"NIFTY 50","16 Jan 2026","38701.71","33723.78"
"NIFTY 50","14 Jan 2026","38635.05","33670.57"
"NIFTY 50","13 Jan 2026","38735.47","33758.08"
"NIFTY 50","12 Jan 2026","38822.72","33834.12"
"NIFTY 50","09 Jan 2026","38661.67","33693.76"
"NIFTY 50","08 Jan 2026","38953.08","33947.73"
"NIFTY 50","07 Jan 2026","39350.28","34293.89"
"NIFTY 50","06 Jan 2026","39407.42","34343.69"
"NIFTY 50","05 Jan 2026","39515.23","34437.64"
"NIFTY 50","02 Jan 2026","39632.99","34540.27"
"NIFTY 50","01 Jan 2026","39359.02","34301.51"
